canalx,canal,date,,hora_ini,hora_fin,fecha_init,fecha_fin
Latina 90 Mediodía 12:00  a 15:00,LATINA HD,2021-11-26, ,12:00:00,15:00:00,2021-11-26 12:00:00,2021-11-26 15:00:00
,LATINA HD,2021-11-27, ,12:00:00,15:00:00,2021-11-27 12:00:00,2021-11-27 15:00:00
,LATINA HD,2021-11-28, ,12:00:00,15:00:00,2021-11-28 12:00:00,2021-11-28 15:00:00
,LATINA HD,2021-11-29, ,12:00:00,15:00:00,2021-11-29 12:00:00,2021-11-29 15:00:00
,LATINA HD,2021-11-30, ,12:00:00,15:00:00,2021-11-30 12:00:00,2021-11-30 15:00:00
,LATINA HD,2021-12-01, ,12:00:00,15:00:00,2021-12-01 12:00:00,2021-12-01 15:00:00
,LATINA HD,2021-12-02, ,12:00:00,15:00:00,2021-12-02 12:00:00,2021-12-02 15:00:00
12:00  a 15:00,AMERICA TELEVISION HD,2021-11-26, ,12:00:00,15:00:00,2021-11-26 12:00:00,2021-11-26 15:00:00
,AMERICA TELEVISION HD,2021-11-27, ,12:00:00,15:00:00,2021-11-27 12:00:00,2021-11-27 15:00:00
,AMERICA TELEVISION HD,2021-11-28, ,12:00:00,15:00:00,2021-11-28 12:00:00,2021-11-28 15:00:00
,AMERICA TELEVISION HD,2021-11-29, ,12:00:00,15:00:00,2021-11-29 12:00:00,2021-11-29 15:00:00
,AMERICA TELEVISION HD,2021-11-30, ,12:00:00,15:00:00,2021-11-30 12:00:00,2021-11-30 15:00:00
,AMERICA TELEVISION HD,2021-12-01, ,12:00:00,15:00:00,2021-12-01 12:00:00,2021-12-01 15:00:00
,AMERICA TELEVISION HD,2021-12-02, ,12:00:00,15:00:00,2021-12-02 12:00:00,2021-12-02 15:00:00
 12:00  a 14:00,CANAL N HD,2021-11-26, ,12:00:00,14:00:00,2021-11-26 12:00:00,2021-11-26 14:00:00
,CANAL N HD,2021-11-27, ,12:00:00,14:00:00,2021-11-27 12:00:00,2021-11-27 14:00:00
,CANAL N HD,2021-11-28, ,12:00:00,14:00:00,2021-11-28 12:00:00,2021-11-28 14:00:00
