TIPO DE CONTENIDO,TÍTULO,FECHA2,HORA,CANAL,,FECHA
Liga Betson,SPORTING CRISTAL vs ALIANZA LIMA,2021-11-28,15:00:00,GOLPERU HD, ,2021-11-28 15:00:00
Premier League,Arsenal vs Newcastle Utd,2021-11-27,7:30:00,ESPN HD, ,2021-11-27 7:30:00
Serie A,Juventus vs Atalanta,2021-11-27,12:00:00,ESPN 2, ,2021-11-27 12:00:00
Copa Libertadores,Palmeiras vs Flamengo,2021-11-27,15:00:00,ESPN HD, ,2021-11-27 15:00:00
Premier League,Manchester City vs West Ham,2021-11-28,9:00:00,ESPN HD, ,2021-11-28 9:00:00
Serie A,Milan vs Sassuolo,2021-11-28,9:00:00,ESPN 2, ,2021-11-28 9:00:00
Premier League,Chelsea vs Manchester United,2021-11-28,11:30:00,ESPN HD, ,2021-11-28 11:30:00
Serie A,Napoli vs Lazio,2021-11-28,14:45:00,ESPN 3 HD, ,2021-11-28 14:45:00
LaLiga,Real Madrid vs Sevilla,2021-11-28,15:00:00,ESPN 2, ,2021-11-28 15:00:00
LPF AFA 2021,Rosario Central vs River Plate,2021-11-28,15:00:00,ESPN HD, ,2021-11-28 15:00:00
LPF AFA 2021,Boca Juniors Newells,2021-11-28,19:30:00,ESPN HD, ,2021-11-28 19:30:00
Serie A,Salemitana vs Juventus,2021-11-30,14:45:00,ESPN HD, ,2021-11-30 14:45:00
Serie A,Inter vs Spezio,2021-12-01,12:30:00,ESPN HD, ,2021-12-01 12:30:00
LaLiga,Real Madrid vs Athletic Bilbao,2021-12-01,15:00:00,ESPN 2, ,2021-12-01 15:00:00
Ligue 1,PSG vs Niza,2021-12-01,15:00:00,ESPN HD, ,2021-12-01 15:00:00
Premier League,Manchester United vs Arsenal,2021-12-02,15:15:00,ESPN HD, ,2021-12-02 15:15:00
Premier League,Tottenham vs Brentford,2021-12-02,14:30:00,ESPN 2, ,2021-12-02 14:30:00
