canal,suscribers,hours
LATINA HD 2021-11-26 12:00:00,20588.0,13392.95
LATINA HD 2021-11-27 12:00:00,18634.0,10409.633333333333
LATINA HD 2021-11-28 12:00:00,33722.0,12507.766666666666
LATINA HD 2021-11-29 12:00:00,23604.0,14212.383333333333
LATINA HD 2021-11-30 12:00:00,22138.0,14074.266666666666
LATINA HD 2021-12-01 12:00:00,22617.0,13973.116666666667
LATINA HD 2021-12-02 12:00:00,22248.0,14090.5
AMERICA TELEVISION HD 2021-11-26 12:00:00,28740.0,23866.766666666666
AMERICA TELEVISION HD 2021-11-27 12:00:00,16241.0,6242.783333333334
AMERICA TELEVISION HD 2021-11-28 12:00:00,25835.0,5091.116666666667
AMERICA TELEVISION HD 2021-11-29 12:00:00,30497.0,24930.016666666666
AMERICA TELEVISION HD 2021-11-30 12:00:00,29897.0,24311.95
AMERICA TELEVISION HD 2021-12-01 12:00:00,30467.0,25240.166666666668
AMERICA TELEVISION HD 2021-12-02 12:00:00,30335.0,25092.683333333334
CANAL N HD 2021-11-26 12:00:00,4240.0,2210.35
CANAL N HD 2021-11-27 12:00:00,3351.0,939.4
CANAL N HD 2021-11-28 12:00:00,6673.0,1742.2833333333333
CANAL N HD 2021-11-29 12:00:00,4963.0,2389.616666666667
CANAL N HD 2021-11-30 12:00:00,4685.0,2414.75
CANAL N HD 2021-12-01 12:00:00,5391.0,2831.5833333333335
CANAL N HD 2021-12-02 12:00:00,4587.0,2593.733333333333
PANAMERICANA TELEVISION HD 2021-11-26 12:30:00,10285.0,4754.433333333333
PANAMERICANA TELEVISION HD 2021-11-27 12:30:00,5682.0,2500.516666666667
PANAMERICANA TELEVISION HD 2021-11-28 12:30:00,7835.0,805.0
PANAMERICANA TELEVISION HD 2021-11-29 12:30:00,12312.0,5419.766666666666
PANAMERICANA TELEVISION HD 2021-11-30 12:30:00,11142.0,4871.8
PANAMERICANA TELEVISION HD 2021-12-01 12:30:00,11132.0,4970.933333333333
PANAMERICANA TELEVISION HD 2021-12-02 12:30:00,10838.0,4896.45
RPP HD 2021-11-26 13:00:00,2575.0,1039.8666666666666
RPP HD 2021-11-27 13:00:00,2568.0,574.0
RPP HD 2021-11-28 13:00:00,6887.0,783.4333333333333
RPP HD 2021-11-29 13:00:00,3296.0,1082.2666666666667
RPP HD 2021-11-30 13:00:00,2882.0,1143.9
RPP HD 2021-12-01 13:00:00,3164.0,1376.3
RPP HD 2021-12-02 13:00:00,2827.0,1070.8
CANAL N HD 2021-11-26 13:00:00,4678.0,2604.4333333333334
CANAL N HD 2021-11-27 13:00:00,4349.0,1535.6666666666667
